,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.21150383353233337,0.9932855367660522,0.08022309094667435,0.998883843421936
1,0.051330287009477615,0.9994593262672424,0.12270921468734741,0.9783746004104614
2,0.016586042940616608,0.999563992023468,0.06126287207007408,0.9976282119750977
3,0.006334116216748953,0.999808132648468,0.008512753993272781,0.9993721842765808
4,0.0027365591377019882,0.9998953342437744,0.0024003328289836645,0.9995116591453552
5,0.0014164592139422894,0.9998604655265808,0.0024141257163137197,0.9995116591453552
6,0.0007592722540721297,0.9999127984046936,0.0020265369676053524,0.9995814561843872
7,0.0004347614594735205,0.9999651312828064,0.001409236341714859,0.9995814561843872
8,0.00022438570158556104,0.9999825358390808,0.013219316489994526,0.9953261017799377
9,0.0001477663026889786,0.9999825358390808,0.001982694724574685,0.9995116591453552
10,8.731754496693611e-05,1.0,0.004079028032720089,0.9990931153297424
